image,well,dapi_n,neuron,CELLNUMBERSEEDED,hydrogen_peroxide,neuron_n,axon_seg_count,axon_seg_area,axon_seg_av_size,per_neuron_axon_seg_count,per_neuron_axon_seg_area
10-20191128-DMV-XII-H2O2,A01,2105,DMV,6400,0,48,5813,134638,23.162,121.10416666666667,2804.9583333333335
10-20191128-DMV-XII-H2O2,A02,1820,DMV,6400,0,43,6052,116817,19.302,140.74418604651163,2716.6744186046512
10-20191128-DMV-XII-H2O2,A03,2842,DMV,6400,0,39,6807,173936,25.553,174.53846153846155,4459.897435897436
10-20191128-DMV-XII-H2O2,A06,1638,DMV,6400,100,28,2219,37706,16.992,79.25,1346.642857142857
10-20191128-DMV-XII-H2O2,A07,1996,DMV,6400,100,55,4638,111744,24.093,84.32727272727273,2031.709090909091
10-20191128-DMV-XII-H2O2,A08,1382,DMV,6400,150,25,1764,20093,11.391,70.56,803.72
10-20191128-DMV-XII-H2O2,A09,1666,DMV,6400,150,42,3680,46795,12.716,87.61904761904762,1114.1666666666667
10-20191128-DMV-XII-H2O2,A10,1604,DMV,6400,150,38,3255,31525,9.685,85.65789473684211,829.6052631578947
10-20191128-DMV-XII-H2O2,A11,1524,DMV,6400,200,28,2818,24801,8.801,100.64285714285714,885.75
10-20191128-DMV-XII-H2O2,A12,2147,DMV,6400,200,46,3963,53996,13.625,86.15217391304348,1173.8260869565217
10-20191128-DMV-XII-H2O2,B01,1970,DMV,6400,0,31,6844,150495,21.989,220.7741935483871,4854.677419354839
10-20191128-DMV-XII-H2O2,B02,2067,DMV,6400,0,53,7741,205527,26.55,146.0566037735849,3877.867924528302
10-20191128-DMV-XII-H2O2,B03,2296,DMV,6400,0,58,6482,130813,20.181,111.75862068965517,2255.396551724138
10-20191128-DMV-XII-H2O2,B06,1620,DMV,6400,100,30,4551,76216,16.747,151.7,2540.5333333333333
10-20191128-DMV-XII-H2O2,B07,1350,DMV,6400,100,28,2120,48616,22.932,75.71428571428571,1736.2857142857142
10-20191128-DMV-XII-H2O2,B08,1350,DMV,6400,150,32,2180,23390,10.729,68.125,730.9375
10-20191128-DMV-XII-H2O2,B09,1242,DMV,6400,150,16,2271,24216,10.663,141.9375,1513.5
10-20191128-DMV-XII-H2O2,B10,1567,DMV,6400,150,40,4051,42488,10.488,101.275,1062.2
10-20191128-DMV-XII-H2O2,B11,1026,DMV,6400,200,14,2323,20497,8.824,165.92857142857142,1464.0714285714287
10-20191128-DMV-XII-H2O2,B12,2100,DMV,6400,200,46,4863,50217,10.326,105.71739130434783,1091.6739130434783
10-20191128-DMV-XII-H2O2,C01,1811,DMV,6400,0,60,7457,208064,27.902,124.28333333333333,3467.733333333333
10-20191128-DMV-XII-H2O2,C02,1819,DMV,6400,0,43,5733,120475,21.014,133.32558139534885,2801.7441860465115
10-20191128-DMV-XII-H2O2,C03,1755,DMV,6400,0,46,5188,98685,19.022,112.78260869565217,2145.3260869565215
10-20191128-DMV-XII-H2O2,C06,2031,DMV,6400,100,33,3152,44033,13.97,95.51515151515152,1334.3333333333333
10-20191128-DMV-XII-H2O2,C07,1613,DMV,6400,100,40,3339,47829,14.324,83.475,1195.725
10-20191128-DMV-XII-H2O2,C08,1111,DMV,6400,150,18,1869,19855,10.623,103.83333333333333,1103.0555555555557
10-20191128-DMV-XII-H2O2,C09,1544,DMV,6400,150,28,3393,32571,9.599,121.17857142857143,1163.25
10-20191128-DMV-XII-H2O2,C10,1260,DMV,6400,150,42,3518,32939,9.363,83.76190476190476,784.2619047619048
10-20191128-DMV-XII-H2O2,C11,1322,DMV,6400,200,32,3380,29483,8.723,105.625,921.34375
10-20191128-DMV-XII-H2O2,C12,2222,DMV,6400,200,30,3402,33180,9.753,113.4,1106
10-20191128-DMV-XII-H2O2,D01,1498,DMV,6400,0,39,5267,93538,17.759,135.05128205128204,2398.4102564102564
10-20191128-DMV-XII-H2O2,D02,1830,DMV,6400,0,68,6277,149036,23.743,92.30882352941177,2191.705882352941
