neuron,image_number,image,var_type,Area,Mean,X,Y,Feret,MinFeret,AR,skeleton_axon_pixels,image_axon_length_um
DMV,01,DMV_01,varicosities,32,331.7,66.4,4.7,12.8,4.7,3.2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,17,1015.6,74.3,2.3,6.4,4,1.5,24527,5078.053830227743
DMV,01,DMV_01,varicosities,27,135.3,375,4.2,10.3,4.4,2.7,24527,5078.053830227743
DMV,01,DMV_01,varicosities,66,127.7,547.2,13.2,27.9,4.5,8.9,24527,5078.053830227743
DMV,01,DMV_01,varicosities,40,88.8,664.2,5,13.5,4.7,3.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,27359,190.7,603.3,513.6,1253.3,908.2,1.6,24527,5078.053830227743
DMV,01,DMV_01,varicosities,2,228.5,853,0.5,2.2,1,2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,4,88.2,184,2,2.8,2,1,24527,5078.053830227743
DMV,01,DMV_01,varicosities,5,77.4,840.7,3.7,4.2,2.1,2.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,4,75.8,653,4,2.8,2,1,24527,5078.053830227743
DMV,01,DMV_01,varicosities,28,94.4,181.2,11.2,12.6,4.1,4.1,24527,5078.053830227743
DMV,01,DMV_01,varicosities,1305,319.6,179.1,103.9,236.6,113.4,2.5,24527,5078.053830227743
DMV,01,DMV_01,varicosities,2,222.5,389.5,14,2.2,1,2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,891,241.5,378.9,43.8,197.7,64.2,3.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,102,208,635.4,21.6,18.9,8.5,2.5,24527,5078.053830227743
DMV,01,DMV_01,varicosities,11,97.1,657.5,17.5,5.8,3,2.2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,13,73.7,178.3,21.7,6.7,3,2.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,47,84.3,378,33.7,10.3,7.1,1.5,24527,5078.053830227743
DMV,01,DMV_01,varicosities,97,190.8,537.4,46.7,30,12.1,3.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,6,66.5,175,32,4.5,2,2.1,24527,5078.053830227743
DMV,01,DMV_01,varicosities,165,75.8,790.3,43,46.6,8.7,8.4,24527,5078.053830227743
DMV,01,DMV_01,varicosities,122,138.1,595.7,45,48.4,5.8,12.5,24527,5078.053830227743
DMV,01,DMV_01,varicosities,14,108.7,638.3,35.1,5.4,4,1.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,1,75,173.5,35.5,1.4,1,1,24527,5078.053830227743
DMV,01,DMV_01,varicosities,19,66.5,170.7,42.9,11.7,3.2,5.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,2,91.5,645,37.5,2.2,1,2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,9,111.2,681.6,42.2,4.5,3,1.3,24527,5078.053830227743
DMV,01,DMV_01,varicosities,12,91.8,629.1,42.9,6.3,3.8,2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,2,82.5,950.5,43,2.2,1,2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,125,140.7,619,49.9,18.4,11.3,1.9,24527,5078.053830227743
DMV,01,DMV_01,varicosities,111,265.5,942,53.3,20.6,8.3,2.5,24527,5078.053830227743
DMV,01,DMV_01,varicosities,3,129.3,383.8,48.8,2.8,2,1.5,24527,5078.053830227743
DMV,01,DMV_01,varicosities,8,73.4,631.5,50.2,4.5,3,1.6,24527,5078.053830227743
DMV,01,DMV_01,varicosities,18,105.1,165,54.5,6.4,4,1.4,24527,5078.053830227743
DMV,01,DMV_01,varicosities,149,119.8,564.2,61.1,30,11.1,3.4,24527,5078.053830227743
DMV,01,DMV_01,varicosities,5,507,415.5,55.5,4.2,2.2,2.2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,2,82.5,504.5,55,2.2,1,2,24527,5078.053830227743
DMV,01,DMV_01,varicosities,9,1538.8,499.1,56.6,5,3,1.8,24527,5078.053830227743
